customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_group,avg_monthly_spend
9631-xeyke,male,0,no,no,3,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),50.4,137.25,no,0-6,34.3125
8631-nbhfz,male,1,yes,yes,66,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,no,credit card (automatic),79.4,5154.6,yes,48+,76.93432835820896
1335-mxcse,male,0,yes,yes,55,yes,no,dsl,no,no,yes,yes,no,no,two year,yes,credit card (automatic),55.25,3119.9,no,48+,55.7125
8873-tmkgr,male,0,no,no,29,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.1,529.5,no,24-48,17.65
8800-joocf,female,0,no,yes,12,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,84.05,966.55,no,6-12,74.35
1469-lbjqj,female,0,yes,no,66,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,105.2,6936.85,no,48+,103.53507462686568
4958-xcbdq,male,1,no,no,35,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,101.4,3496.3,yes,24-48,97.11944444444445
8337-upoaq,male,1,yes,no,10,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,89.8,914.3,yes,6-12,83.11818181818181
0064-yijgf,male,0,yes,yes,27,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.75,1929.0,no,24-48,68.89285714285714
2386-owury,female,0,no,no,58,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,95.3,5817.7,no,48+,98.60508474576271
1725-iqniy,male,0,yes,no,54,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),109.75,6110.2,yes,48+,111.09454545454545
0310-vqxam,male,0,no,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.85,178.8,no,6-12,17.880000000000003
6598-rffvi,male,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.3,28.3,yes,0-6,9.433333333333334
3453-rthjq,male,0,no,no,6,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.1,435.0,no,0-6,62.142857142857146
6712-oawrh,female,1,no,no,26,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.25,2351.8,yes,24-48,87.10370370370372
6278-fepbz,female,0,no,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.25,186.15,no,6-12,18.615000000000002
4280-dlshd,male,0,yes,no,8,yes,no,dsl,no,yes,yes,no,no,no,month-to-month,yes,mailed check,54.75,445.85,no,6-12,49.53888888888889
1508-dfxcu,male,0,no,no,12,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,81.45,912.0,no,6-12,70.15384615384616
8614-vgmmv,female,0,no,no,15,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,49.1,679.55,yes,12-24,42.471875
7868-bgsza,male,0,yes,no,43,yes,yes,dsl,yes,no,yes,no,yes,yes,one year,yes,electronic check,80.2,3581.6,no,24-48,81.39999999999999
2800-qquso,male,0,no,no,42,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,100.3,4222.95,no,24-48,98.20813953488371
2930-uotmb,female,0,no,no,31,yes,yes,dsl,yes,no,yes,yes,no,no,month-to-month,no,credit card (automatic),65.25,1994.3,yes,24-48,62.321875
7973-dzrkh,female,0,no,yes,66,yes,yes,fiber optic,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),90.95,5930.05,no,48+,88.50820895522388
5914-dvbwj,female,1,no,no,18,yes,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,electronic check,85.45,1505.85,yes,12-24,79.25526315789473
7698-yfgez,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.0,20.0,no,0-6,10.0
2533-qvmsk,male,0,yes,no,61,yes,yes,fiber optic,no,yes,no,yes,yes,no,two year,yes,electronic check,94.1,5638.3,yes,48+,90.94032258064516
9773-peqbz,male,0,no,no,10,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,no,electronic check,79.85,797.25,no,6-12,72.47727272727273
8644-xlfbw,male,1,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,71.65,71.65,yes,0-6,35.825
0650-bwozn,female,1,no,no,18,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,73.55,1359.45,no,12-24,71.55
8625-azyzy,male,0,yes,no,24,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,104.65,2542.45,yes,12-24,101.698
7785-rdvig,female,0,yes,yes,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.3,54.7,no,0-6,13.675
9602-wcxpi,male,0,no,no,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),20.15,989.05,no,48+,19.39313725490196
2903-yytbw,male,0,yes,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.55,44.55,no,0-6,22.275
3620-mwjne,male,0,no,no,2,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,yes,mailed check,54.45,87.3,no,0-6,29.099999999999998
8573-jgczw,male,0,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),19.65,351.55,no,12-24,19.530555555555555
6837-haevo,male,0,yes,yes,69,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,electronic check,105.0,7297.75,no,48+,104.25357142857143
6701-yvnqg,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),88.7,6301.7,no,48+,86.32465753424657
9306-cpcbc,female,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.25,210.3,yes,0-6,52.575
4304-xumgi,male,1,yes,yes,50,yes,yes,dsl,yes,yes,yes,no,no,yes,two year,yes,bank transfer (automatic),75.15,3822.45,no,48+,74.95
9504-yazwb,female,0,no,no,53,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.25,1048.45,no,48+,19.41574074074074
8819-zbyna,female,0,yes,no,58,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,two year,yes,credit card (automatic),109.1,6393.65,no,48+,108.36694915254236
6174-nrbtz,male,0,no,no,46,no,no phone service,dsl,yes,no,no,no,no,no,one year,yes,bank transfer (automatic),30.75,1489.3,no,24-48,31.68723404255319
9481-iebzy,male,1,yes,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,month-to-month,yes,credit card (automatic),112.9,8061.5,no,48+,110.43150684931507
1833-vgrum,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.2,74.2,yes,0-6,37.1
6137-nicco,female,0,yes,yes,6,yes,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,yes,mailed check,94.05,518.75,no,0-6,74.10714285714286
9065-zcpqx,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,no,bank transfer (automatic),78.85,5763.15,no,48+,78.9472602739726
6402-ejmwf,male,0,no,no,4,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,mailed check,55.3,238.5,no,0-6,47.7
3620-ehimz,female,0,yes,yes,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,19.35,1031.7,no,48+,19.466037735849056
3213-vvolg,male,0,yes,yes,0,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.35,1397.475,no,0-6,1397.475
6870-ecshe,female,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.45,34.8,no,0-6,11.6
8747-udcoi,female,0,yes,no,65,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),19.35,1319.95,no,48+,19.999242424242425
8374-xgejj,male,1,yes,no,43,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,101.0,4388.4,yes,24-48,99.73636363636363
2656-tabeh,male,0,yes,no,4,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,100.2,420.2,yes,0-6,84.03999999999999
6946-lmsqs,male,1,yes,no,25,yes,yes,fiber optic,yes,no,no,no,no,yes,one year,yes,electronic check,89.05,2177.45,yes,24-48,83.74807692307692
4626-ozdtj,female,0,yes,no,51,yes,yes,dsl,no,yes,no,yes,yes,yes,one year,yes,credit card (automatic),78.65,3950.85,no,48+,75.97788461538461
9169-bsvin,male,0,no,no,12,yes,yes,dsl,no,no,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),74.75,827.05,no,6-12,63.61923076923077
2325-zusfd,female,0,yes,yes,57,yes,no,dsl,yes,no,no,no,yes,yes,one year,yes,bank transfer (automatic),70.1,3913.3,yes,48+,67.47068965517242
8194-peeby,female,0,yes,yes,24,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.9,533.5,no,12-24,21.34
6872-hxfnf,female,0,yes,no,64,yes,yes,dsl,no,no,yes,yes,no,no,one year,no,bank transfer (automatic),58.35,3756.45,no,48+,57.79153846153846
3932-cmdtd,female,0,no,no,4,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,105.65,443.9,yes,0-6,88.78
7714-yxsmb,female,0,no,no,26,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),100.5,2599.95,no,24-48,96.29444444444444
8387-ugusu,female,0,yes,yes,15,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,284.3,no,12-24,17.76875
1080-bwsye,male,1,yes,no,64,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.65,1740.8,no,48+,26.78153846153846
4039-heunw,male,1,yes,no,36,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,96.5,3436.1,yes,24-48,92.86756756756756
1194-hvaif,female,0,yes,no,27,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,credit card (automatic),95.0,2462.55,no,24-48,87.94821428571429
0812-wuptb,male,1,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.85,70.85,yes,0-6,35.425
3594-uvona,female,0,no,no,35,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,yes,credit card (automatic),85.95,3110.1,yes,24-48,86.39166666666667
0004-tlhlj,male,0,no,no,4,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,73.9,280.85,yes,0-6,56.17
1767-tgtko,female,0,yes,yes,8,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.45,411.75,no,6-12,45.75
8439-ltugf,male,0,no,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),20.0,198.6,no,6-12,18.054545454545455
8805-jnraz,female,0,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,49.2,103.7,no,0-6,34.56666666666667
5089-ifsdp,female,0,yes,no,58,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),109.45,6144.55,yes,48+,104.14491525423729
6418-hnfed,male,0,yes,no,51,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),83.25,4089.45,no,48+,78.64326923076922
0206-oyvoc,female,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.25,864.2,no,24-48,18.387234042553192
7291-cdtmj,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),19.65,19.65,no,0-6,9.825
7128-ggcno,male,0,no,no,46,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),72.8,3249.4,no,24-48,69.13617021276596
0237-yfutl,female,0,yes,no,50,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.65,5405.8,no,48+,105.99607843137255
7691-kgkgp,male,0,yes,yes,53,yes,no,dsl,no,yes,no,yes,yes,no,month-to-month,no,credit card (automatic),65.0,3363.8,no,48+,62.2925925925926
6710-hsjrd,male,0,yes,no,61,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,114.1,7132.15,no,48+,115.03467741935484
3675-eqoza,male,0,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.65,93.55,no,0-6,15.591666666666667
0840-dcnze,male,0,no,no,47,yes,no,dsl,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),86.95,4138.9,no,24-48,86.22708333333333
1732-fekld,female,0,no,no,54,yes,yes,fiber optic,no,yes,yes,no,yes,no,one year,yes,bank transfer (automatic),94.75,5121.75,no,48+,93.12272727272727
9862-kjtyk,male,0,no,yes,19,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),25.35,566.1,no,12-24,28.305
0479-hmswa,female,0,no,yes,26,yes,no,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,electronic check,105.45,2715.3,no,24-48,100.56666666666668
5854-ksrbj,male,0,yes,yes,70,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.4,1782.05,no,48+,25.099295774647885
0365-bzuwy,male,0,yes,no,17,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,102.55,1742.5,no,12-24,96.80555555555556
4817-vyyws,female,0,no,no,30,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,100.2,2983.8,yes,24-48,96.25161290322582
5701-svcwr,female,0,no,yes,1,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,24.0,24.0,no,0-6,12.0
3129-aaqou,female,0,yes,yes,19,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.6,485.9,no,12-24,24.294999999999998
4922-cvpdx,female,0,yes,no,26,yes,no,dsl,no,yes,yes,no,yes,yes,two year,yes,credit card (automatic),73.5,1905.7,no,24-48,70.58148148148149
1396-qwfbj,female,0,yes,yes,21,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),74.05,1565.7,yes,12-24,71.16818181818182
1357-bijki,male,0,yes,no,50,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,yes,electronic check,98.25,4858.7,no,48+,95.26862745098039
1099-btkwt,female,0,yes,no,68,no,no phone service,dsl,yes,no,yes,no,yes,yes,one year,yes,electronic check,54.4,3723.65,no,48+,53.96594202898551
5299-sjczt,male,0,no,no,3,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),101.55,298.35,yes,0-6,74.5875
2018-pzkmu,male,0,yes,yes,9,yes,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,no,electronic check,103.1,970.45,no,6-12,97.045
7340-kefqe,female,0,yes,yes,51,no,no phone service,dsl,yes,no,no,yes,no,no,two year,no,bank transfer (automatic),34.2,1782.0,no,48+,34.26923076923077
4570-qhxhl,female,0,no,no,9,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,43.75,405.7,no,6-12,40.57
2403-bcasl,male,1,yes,yes,41,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,111.95,4534.9,yes,24-48,107.97380952380952
7392-yypyj,male,0,no,no,22,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,100.65,2415.95,no,12-24,105.04130434782608
2898-lsjgd,female,0,yes,yes,21,no,no phone service,dsl,yes,no,yes,no,yes,yes,one year,yes,electronic check,55.95,1157.05,yes,12-24,52.59318181818182
2223-gdshl,male,0,yes,yes,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),116.05,8297.5,no,48+,115.24305555555556
7359-ptsxy,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,45.75,45.75,yes,0-6,22.875
9470-rtwdv,male,0,yes,yes,26,yes,yes,dsl,no,no,yes,yes,yes,yes,one year,yes,credit card (automatic),82.0,2083.1,no,24-48,77.15185185185184
2176-osjuv,male,0,yes,no,71,yes,yes,dsl,yes,yes,no,yes,no,no,two year,no,bank transfer (automatic),65.15,4681.75,no,48+,65.02430555555556
9348-yvomk,male,0,no,no,4,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),44.8,176.2,no,0-6,35.239999999999995
8104-oskwt,female,0,no,no,12,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,79.8,1001.2,no,6-12,77.01538461538462
4521-yeehe,female,0,yes,no,18,yes,yes,fiber optic,no,no,no,yes,yes,no,month-to-month,yes,electronic check,88.85,1594.75,no,12-24,83.9342105263158
4090-kpjip,female,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.95,212.4,no,0-6,53.1
3786-wovkf,female,1,yes,no,72,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,yes,bank transfer (automatic),106.85,7677.4,no,48+,105.16986301369863
4503-bdxbd,male,0,no,no,11,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,no,electronic check,74.95,815.5,yes,6-12,67.95833333333333
6086-esgrl,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,credit card (automatic),80.15,80.15,yes,0-6,40.075
2592-hodov,male,0,no,no,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.3,259.65,no,12-24,18.54642857142857
3886-certz,female,0,yes,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,109.25,8109.8,yes,48+,111.09315068493152
7995-zhhnz,male,0,yes,no,42,yes,yes,dsl,yes,no,no,no,no,no,one year,no,credit card (automatic),56.1,2386.85,no,24-48,55.50813953488372
3824-rhkvr,female,0,no,no,17,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),19.7,340.35,no,12-24,18.908333333333335
5816-scgfc,female,1,no,no,7,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed check,51.3,419.35,no,6-12,52.41875
5989-axpuc,female,0,yes,no,68,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,mailed check,118.6,7990.05,no,48+,115.79782608695652
4979-hprfl,male,0,yes,yes,56,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer (automatic),24.15,1402.25,no,48+,24.600877192982455
8590-ohdiw,female,0,yes,yes,38,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.3,749.35,no,24-48,19.214102564102564
8015-ihcgw,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,115.5,8425.15,no,48+,115.41301369863014
2332-todqs,female,0,no,no,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),25.05,1171.5,no,24-48,23.908163265306122
9278-vzkcd,female,1,yes,no,52,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,yes,electronic check,109.1,5647.95,no,48+,106.56509433962263
8008-otezx,female,0,yes,yes,35,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.65,708.8,no,24-48,19.688888888888886
2773-ovbpk,male,0,yes,no,67,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),111.3,7567.2,no,48+,111.28235294117647
5999-lcxao,female,0,no,no,1,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,29.9,29.9,no,0-6,14.95
5206-xzzqi,male,0,no,no,53,yes,no,fiber optic,no,yes,no,yes,no,no,month-to-month,yes,mailed check,80.6,4348.1,no,48+,80.52037037037037
4803-lbypn,male,0,yes,yes,34,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.8,635.9,no,24-48,18.16857142857143
5759-rcvcb,female,0,no,no,3,no,no phone service,dsl,no,no,no,no,yes,no,month-to-month,no,credit card (automatic),35.2,108.95,yes,0-6,27.2375
6372-rfvns,female,0,yes,no,1,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,no,electronic check,78.8,78.8,yes,0-6,39.4
2139-fqhlm,male,0,no,no,19,yes,no,fiber optic,no,no,yes,yes,yes,no,month-to-month,no,mailed check,89.95,1682.4,no,12-24,84.12
8261-gwdbq,female,1,yes,no,60,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),116.05,6925.9,no,48+,113.53934426229507
1093-yswca,male,0,no,no,11,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.55,223.15,no,6-12,18.595833333333335
8938-umkpi,female,0,no,no,47,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,106.4,5127.95,yes,24-48,106.83229166666666
0991-brrfb,male,0,no,no,18,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,electronic check,49.4,874.8,yes,12-24,46.04210526315789
3882-iyoij,female,0,yes,yes,60,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),115.25,6758.45,no,48+,110.79426229508196
8749-tzyec,male,0,yes,no,72,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),24.8,1874.3,no,48+,25.675342465753424
1755-fzqec,male,0,no,no,39,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.9,791.15,no,24-48,19.77875
3115-jpjdd,female,0,yes,no,59,yes,no,fiber optic,yes,no,yes,no,no,no,one year,yes,credit card (automatic),81.25,4639.45,no,48+,77.32416666666667
5600-ktxfm,male,0,yes,yes,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,69.95,143.9,no,0-6,47.96666666666667
3871-ikpyh,male,1,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,69.1,69.1,yes,0-6,34.55
6319-iejwj,male,0,yes,yes,20,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,90.2,1776.55,yes,12-24,84.59761904761905
9025-aomki,female,0,no,no,6,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),93.55,536.4,yes,0-6,76.62857142857142
6339-tbelp,male,0,no,no,71,yes,yes,fiber optic,no,no,yes,yes,no,no,two year,yes,credit card (automatic),86.4,6172.0,no,48+,85.72222222222223
7964-yesjc,female,0,yes,no,24,yes,yes,dsl,yes,yes,yes,no,no,no,month-to-month,no,mailed check,66.3,1559.45,no,12-24,62.378
6173-golsu,male,1,yes,no,67,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,credit card (automatic),94.65,6079.0,no,48+,89.3970588235294
5275-sqeiz,male,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,mailed check,80.85,80.85,yes,0-6,40.425
7716-ytyhg,female,0,yes,yes,48,yes,yes,fiber optic,no,no,no,no,no,yes,one year,yes,mailed check,82.05,4029.95,yes,24-48,82.2438775510204
9938-zrehm,female,0,yes,no,37,yes,yes,dsl,no,yes,no,yes,no,yes,one year,no,mailed check,72.1,2658.4,no,24-48,69.9578947368421
7950-xwovn,male,0,no,no,11,no,no phone service,dsl,no,yes,yes,no,no,no,month-to-month,no,mailed check,34.7,383.55,no,6-12,31.962500000000002
4390-kyulv,male,0,yes,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),20.55,51.15,yes,0-6,12.7875
4647-muzon,female,0,yes,no,18,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),95.95,1745.5,no,12-24,91.86842105263158
9702-aiujo,male,0,yes,yes,50,yes,no,dsl,no,no,no,no,no,no,one year,yes,bank transfer (automatic),44.8,2230.85,no,48+,43.7421568627451
8849-priqj,female,0,yes,yes,67,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,one year,yes,electronic check,109.4,7281.6,no,48+,107.08235294117648
8851-ragov,female,0,yes,no,25,yes,no,dsl,yes,yes,no,yes,no,yes,month-to-month,yes,mailed check,71.05,1837.7,no,24-48,70.68076923076923
1304-necvq,female,1,no,no,2,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,78.55,149.55,yes,0-6,49.85
5396-izepb,male,0,no,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),19.7,180.7,no,6-12,18.07
1729-vlazj,female,0,no,yes,10,no,no phone service,dsl,yes,yes,no,yes,no,no,one year,no,mailed check,40.25,411.45,no,6-12,37.404545454545456
8285-abvlb,female,0,yes,no,70,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.85,1328.35,no,48+,18.709154929577462
0701-tjsef,male,0,no,no,9,yes,no,dsl,yes,no,yes,yes,no,yes,month-to-month,yes,bank transfer (automatic),68.25,576.95,no,6-12,57.69500000000001
5712-vboxd,female,0,no,no,4,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,credit card (automatic),20.15,68.45,no,0-6,13.690000000000001
6629-ladhq,female,0,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,50.95,123.05,no,0-6,41.016666666666666
8945-grkhx,female,0,no,yes,1,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,78.65,78.65,yes,0-6,39.325
1559-dtodc,male,0,no,no,19,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),25.15,468.35,no,12-24,23.4175
4797-miwum,male,0,yes,yes,7,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer (automatic),20.25,174.7,no,6-12,21.8375
6959-uwkhf,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,42.9,42.9,yes,0-6,21.45
8720-rqsbj,male,1,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.0,44.0,no,0-6,22.0
4537-cibhb,female,0,yes,yes,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.25,172.35,no,6-12,17.235
3815-slmef,female,0,no,no,3,no,no phone service,dsl,yes,no,no,yes,no,no,month-to-month,no,mailed check,34.25,139.35,yes,0-6,34.8375
